group1,n1,mean1,group2,n2,mean2,p_value
Autosome,18308,-1.0215923776719806,Xi-silent,307,-0.6487611854289757,3.2728311398357833e-07
Autosome,18308,-1.0215923776719806,Xi-expressed,45,-0.5253308225617405,0.009252041156814968
Autosome,18308,-1.0215923776719806,NPX-NPY,10,-0.27549144861624414,0.08424553340325253
Autosome,18308,-1.0215923776719806,PAR1,11,-1.9041428928739317,0.02317785619860993
Autosome,18308,-1.0215923776719806,PAR2,1,-2.6063154178315457,0.19092091538723832
Xi-silent,307,-0.6487611854289757,Xi-expressed,45,-0.5253308225617405,0.5754723884569592
Xi-silent,307,-0.6487611854289757,NPX-NPY,10,-0.27549144861624414,0.4478274656110317
Xi-silent,307,-0.6487611854289757,PAR1,11,-1.9041428928739317,0.0009871039066192621
Xi-silent,307,-0.6487611854289757,PAR2,1,-2.6063154178315457,0.1233766233766234
Xi-expressed,45,-0.5253308225617405,NPX-NPY,10,-0.27549144861624414,0.5929030849225905
Xi-expressed,45,-0.5253308225617405,PAR1,11,-1.9041428928739317,0.0005731097357340891
Xi-expressed,45,-0.5253308225617405,PAR2,1,-2.6063154178315457,0.08695652173913043
NPX-NPY,10,-0.27549144861624414,PAR1,11,-1.9041428928739317,0.005410729359599601
NPX-NPY,10,-0.27549144861624414,PAR2,1,-2.6063154178315457,0.18181818181818182
PAR1,11,-1.9041428928739317,PAR2,1,-2.6063154178315457,0.6666666666666666
