group1,n1,mean1,group2,n2,mean2,p_value
Autosome,18384,-1.0216569370400659,Xi-silent,92,-0.8512964273422625,0.22035518448321756
Autosome,18384,-1.0216569370400659,Xi-expressed,15,-0.7852715393487669,0.4619905612347187
Autosome,18384,-1.0216569370400659,NPX-NPY,4,-0.5084727087711793,0.4063430255707948
Autosome,18384,-1.0216569370400659,PAR1,9,-2.0721113786443923,0.014685553986124077
Xi-silent,92,-0.8512964273422625,Xi-expressed,15,-0.7852715393487669,0.8681560951582288
Xi-silent,92,-0.8512964273422625,NPX-NPY,4,-0.5084727087711793,0.5649556286047996
Xi-silent,92,-0.8512964273422625,PAR1,9,-2.0721113786443923,0.005789442891034088
Xi-expressed,15,-0.7852715393487669,NPX-NPY,4,-0.5084727087711793,0.6646026831785345
Xi-expressed,15,-0.7852715393487669,PAR1,9,-2.0721113786443923,0.006089736397593219
NPX-NPY,4,-0.5084727087711793,PAR1,9,-2.0721113786443923,0.033566433566433566
