group1,n1,mean1,group2,n2,mean2,p_value
Autosome,18384,-1.0216569370400659,Xi-silent,308,-0.6467594994444384,2.8416899670183334e-07
Autosome,18384,-1.0216569370400659,Xi-expressed,45,-0.524653236679757,0.009337197261391096
Autosome,18384,-1.0216569370400659,NPX-NPY,10,-0.28139620544772137,0.08732844799136491
Autosome,18384,-1.0216569370400659,PAR1,11,-1.9113670418325244,0.02208302976439408
Autosome,18384,-1.0216569370400659,PAR2,1,-2.607405072190854,0.19218278471089012
Xi-silent,308,-0.6467594994444384,Xi-expressed,45,-0.524653236679757,0.584666602781946
Xi-silent,308,-0.6467594994444384,NPX-NPY,10,-0.28139620544772137,0.468349593527848
Xi-silent,308,-0.6467594994444384,PAR1,11,-1.9113670418325244,0.0009264450239529087
Xi-silent,308,-0.6467594994444384,PAR2,1,-2.607405072190854,0.1165048543689321
Xi-expressed,45,-0.524653236679757,NPX-NPY,10,-0.28139620544772137,0.6234333413821048
Xi-expressed,45,-0.524653236679757,PAR1,11,-1.9113670418325244,0.0005731097357340891
Xi-expressed,45,-0.524653236679757,PAR2,1,-2.607405072190854,0.08695652173913043
NPX-NPY,10,-0.28139620544772137,PAR1,11,-1.9113670418325244,0.005410729359599601
NPX-NPY,10,-0.28139620544772137,PAR2,1,-2.607405072190854,0.18181818181818182
PAR1,11,-1.9113670418325244,PAR2,1,-2.607405072190854,0.6666666666666666
