group1,n1,mean1,group2,n2,mean2,p_value
Autosome,6963,-1.3907082362608223,Xi-silent,82,-1.2183832641147934,0.06187925450506826
Autosome,6963,-1.3907082362608223,Xi-expressed,20,-1.4017283457986645,0.9877256637507097
Autosome,6963,-1.3907082362608223,NPX-NPY,1,0.079689352879432,0.06203331418724843
Autosome,6963,-1.3907082362608223,PAR1,4,-0.7430378019493448,0.09531947302061396
Xi-silent,82,-1.2183832641147934,Xi-expressed,20,-1.4017283457986645,0.33875187021711495
Xi-silent,82,-1.2183832641147934,NPX-NPY,1,0.079689352879432,0.04819277108433735
Xi-silent,82,-1.2183832641147934,PAR1,4,-0.7430378019493448,0.30362293418348024
Xi-expressed,20,-1.4017283457986645,NPX-NPY,1,0.079689352879432,0.09523809523809523
Xi-expressed,20,-1.4017283457986645,PAR1,4,-0.7430378019493448,0.09693205345379258
NPX-NPY,1,0.079689352879432,PAR1,4,-0.7430378019493448,0.4
