group1,n1,mean1,group2,n2,mean2,p_value
Autosome,6963,-1.070459205280767,Xi-silent,82,-0.2658214592662661,6.190435289109675e-09
Autosome,6963,-1.070459205280767,Xi-expressed,20,-0.7488924855727157,0.21985855829368783
Autosome,6963,-1.070459205280767,NPX-NPY,1,-1.2695120962115212,0.9195864445720369
Autosome,6963,-1.070459205280767,PAR1,4,-1.93467509686986,0.15316009364871652
Xi-silent,82,-0.2658214592662661,Xi-expressed,20,-0.7488924855727157,0.02635714557124735
Xi-silent,82,-0.2658214592662661,NPX-NPY,1,-1.2695120962115212,0.3614457831325302
Xi-silent,82,-0.2658214592662661,PAR1,4,-1.93467509686986,0.005288301927663753
Xi-expressed,20,-0.7488924855727157,NPX-NPY,1,-1.2695120962115212,0.47619047619047616
Xi-expressed,20,-0.7488924855727157,PAR1,4,-1.93467509686986,0.029173724825898736
NPX-NPY,1,-1.2695120962115212,PAR1,4,-1.93467509686986,0.8
