group1,n1,mean1,group2,n2,mean2,p_value
Autosome,6963,0.3202490309800551,Xi-silent,82,0.9525618048485273,6.44494008225348e-10
Autosome,6963,0.3202490309800551,Xi-expressed,20,0.6528358602259486,0.1427850023395233
Autosome,6963,0.3202490309800551,NPX-NPY,1,-1.3492014490909532,0.0769672601952897
Autosome,6963,0.3202490309800551,PAR1,4,-1.1916372949205152,0.006197564986452166
Xi-silent,82,0.9525618048485273,Xi-expressed,20,0.6528358602259486,0.10835556096342398
Xi-silent,82,0.9525618048485273,NPX-NPY,1,-1.3492014490909532,0.024096385542168676
Xi-silent,82,0.9525618048485273,PAR1,4,-1.1916372949205152,0.0002778359872948899
Xi-expressed,20,0.6528358602259486,NPX-NPY,1,-1.3492014490909532,0.09523809523809523
Xi-expressed,20,0.6528358602259486,PAR1,4,-1.1916372949205152,0.007152268021833239
NPX-NPY,1,-1.3492014490909532,PAR1,4,-1.1916372949205152,0.8
