chromosome,n,mean,p_value_vs_X,significance
1,1991,-1.0398885558621276,0.0020053451480877174,**
2,1216,-0.7129613318709875,0.0023030969615088627,**
3,1031,-0.6480496344348358,0.00019564293705048196,***
4,740,-0.3369308355997826,4.2821487848963974e-20,***
5,860,-0.6924820569742092,0.0012509378094404874,**
6,999,-0.7791460930990168,0.13127825411684632,
7,886,-0.9342831630691519,0.4273726010628943,
8,676,-0.8234270300134084,0.2547763297547285,
9,743,-1.143878918893777,9.198584414845978e-06,***
10,709,-0.8702166534799487,0.8974979800314677,
11,1263,-0.9619321020020029,0.10770177016632025,
12,993,-0.7716995303408719,0.1316715048446679,
13,311,-0.4794244122438461,1.925844977445826e-07,***
14,587,-0.8350784716478183,0.5452674183603549,
15,567,-1.020141301946906,0.03188886871099075,*
16,811,-1.6959860133473539,4.359555642473887e-42,***
17,1131,-1.521556046437412,2.858295807118006e-33,***
18,259,-0.5096238245078923,4.404303385256591e-06,***
19,1380,-1.8377560877763401,6.102315968810624e-70,***
20,519,-1.410058652910306,1.4887013126564582e-15,***
21,213,-0.9072174636481263,0.39208003363571275,
22,423,-1.7372556040203129,5.872109966064025e-35,***
X chromosome,830,-0.8773205793340129,,
