chromosome,n,mean,p_value_vs_X,significance
1,822,-1.6025063141386158,3.5666921292919247e-07,***
2,517,-1.2821066002226134,0.7536545850136869,
3,474,-1.2314466222179656,0.8192479975279733,
4,332,-0.9235498419703068,3.242865355780814e-05,***
5,365,-1.170304882656884,0.2091030663279141,
6,381,-1.1120329024743558,0.06270234837753517,
7,300,-1.232385949457352,0.7565225557377769,
8,275,-1.3255592164236694,0.3213854961229644,
9,313,-1.3803413995334706,0.05272842824210778,
10,315,-1.2758330877750423,0.7627766293080671,
11,357,-1.625666643168294,9.268865883406788e-07,***
12,403,-1.4976000398481624,0.001664766154253559,**
13,144,-0.9201857393259915,0.0002216454027060597,***
14,233,-1.2939440901694337,0.4145261585610336,
15,211,-1.3466217510200345,0.212596862487756,
16,280,-1.6356732694525127,1.703693356540045e-06,***
17,413,-1.7852785158898283,1.062089834581597e-12,***
18,117,-0.9814665239234268,0.005378615622242399,**
19,250,-2.0638664911415243,1.3025154431330145e-22,***
20,203,-1.5595088091748621,0.00039237092341973647,***
21,79,-0.8560478666991939,0.0006970351012047417,***
22,179,-1.5737413244659042,0.00016331199613447823,***
X chromosome,190,-1.2516261885921494,,
