chromosome,n,mean,p_value_vs_X,significance
1,820,-1.1255185014979852,5.098982571784703e-09,***
2,517,-0.8098842557435588,0.01550997210384605,*
3,474,-0.6820810837368255,0.19695430448326323,
4,331,-0.41344774556964614,0.08394611931326493,
5,365,-0.6965994524946634,0.29517531925368845,
6,381,-0.670426715416332,0.26918802472139236,
7,299,-0.941154096484545,0.003035898575480552,**
8,275,-0.8705836636733494,0.013748517030141919,*
9,313,-1.3371757510560571,3.4373002763313796e-12,***
10,315,-1.0275958499122355,3.1311994554701336e-05,***
11,356,-1.2413372526060154,7.305508874810554e-11,***
12,403,-0.9572945701670464,7.010916340410821e-05,***
13,143,-0.4733762910138004,0.4047733770461135,
14,233,-0.9105761120347073,0.005427828530600253,**
15,211,-1.1106553366227334,4.284321415038779e-06,***
16,280,-1.7861512193113078,1.5535473387901962e-25,***
17,411,-1.5732935713292973,3.9267814912881965e-22,***
18,117,-0.6139340636254779,0.8857847853457264,
19,250,-2.2586130623763716,2.400575264520248e-44,***
20,203,-1.6593747934899241,7.936594214338919e-19,***
21,79,-0.7988369556167894,0.058495336314634605,
22,179,-1.9638032303742297,4.3877915356994677e-29,***
X chromosome,190,-0.5527131388437928,,
