chromosome,n,mean,p_value_vs_X,significance
1,822,0.48037472059697484,0.0023501538694692945,**
2,517,0.47297503314010153,0.0022322953122147914,**
3,474,0.5495198506483292,0.06643398124713205,
4,332,0.5087834796352008,0.15212203093980256,
5,365,0.4748262392951039,0.0055089289249848645,**
6,381,0.44266418556931114,0.00030897356676588215,***
7,300,0.2859253116439861,1.99217211168019e-06,***
8,275,0.45628452687612914,0.003627567178575515,**
9,313,0.04419030812889293,8.805115776381154e-16,***
10,315,0.24970526619563216,2.3378095129719104e-07,***
11,357,0.3828707077770494,4.376135469524152e-05,***
12,403,0.5406489553786247,0.035588086890831844,*
13,144,0.44953666750641413,0.01564178287184373,*
14,233,0.3847188769469105,0.007125297423154718,**
15,211,0.235878001362254,8.071919648800122e-07,***
16,280,-0.148374148225095,1.9680958221831347e-22,***
17,413,0.21302373481033757,3.8307347544573466e-11,***
18,117,0.3688893776231122,0.0012282813306126166,**
19,250,-0.19179089904328875,1.7632496485648053e-24,***
20,203,-0.0986678448916308,4.42926077864669e-18,***
21,79,0.059720245770720895,1.627749317575842e-06,***
22,179,-0.3890834561426192,3.3002757095287935e-27,***
X chromosome,190,0.6989981489628424,,
