gene_id,gene_name,chromosome,is_Z,te_gene_id,CO_Mega,TE_mean
ENSGALG00010000051,GDPGP1,10,0,,-2.7519799743917708,
ENSGALG00010000047,IQGAP1,10,0,ENSGALG00000030162,-0.4199557363891713,-0.3193873065173577
ENSGALG00010000052,TTLL6,10,0,ENSGALG00000020921,-1.4425642061126194,-3.108610960075189
ENSGALG00010000049,FES,10,0,ENSGALG00000008340,-3.2872939500912093,-3.1679932613811563
ENSGALG00010000043,PPIP5K1,10,0,ENSGALG00000008385,-1.7425044841275958,-3.120276907465306
ENSGALG00010000045,TP53BP1,10,0,INRAGALG00000003758;ENSGALG00000042201,-1.540760639173214,
ENSGALG00010000046,TUBGCP4,10,0,ENSGALG00000008549,-1.5690267038404655,-0.5998339908022036
ENSGALG00010000044,MAP1A,10,0,ENSGALG00000008425;ENSGALG00000052203,-1.2813832216692744,
ENSGALG00010000053,HDDC3,10,0,ENSGALG00000044375;ENSGALG00000012833,-2.9442914646614007,
ENSGALG00010000048,MAN2A2,10,0,ENSGALG00000033790,-2.682644385862681,-3.7232057839965846
ENSGALG00010000143,SCARF2,15,0,ENSGALG00000034560,-2.555342822095014,-3.206939502937177
ENSGALG00010000323,AP1B1,15,0,ENSGALG00000042213;ENSGALG00000025689,-2.0788229475745936,
ENSGALG00010000271,RTN4R,15,0,ENSGALG00000007732,-2.2006651726260578,-1.017351488683686
ENSGALG00010000287,IQCD,15,0,ENSGALG00000037307,-1.560769576787607,
ENSGALG00010000281,OSBP2,15,0,ENSGALG00000007758,-2.2928998531266855,-2.195117823740689
ENSGALG00010000215,SF3A1,15,0,ENSGALG00000007937,-1.3579162856097406,-0.3649815337697953
ENSGALG00010000225,LIF,15,0,ENSGALG00000008028,-2.688878834365375,
ENSGALG00010000298,SLC35E4,15,0,ENSGALG00000049875;ENSGALG00000050491,-2.874044857416461,
ENSGALG00010000205,RNF215,15,0,ENSGALG00000040925;INRAGALG00000005424,-2.950194481402619,
ENSGALG00010000312,CABP7,15,0,ENSGALG00000040463,-2.4162758028515774,
ENSGALG00010000063,SERF2,10,0,ENSGALG00000053991,-1.556944971781666,
ENSGALG00010000294,DUSP21,15,0,ALDBGALG0000001774;INRAGALG00000005421,-1.4557206820179527,
ENSGALG00010000061,SERINC4,10,0,ENSGALG00000042029,-2.0597348625483263,
ENSGALG00010000286,TCN2,15,0,ENSGALG00000048285,-2.2478699990461366,
ENSGALG00010000191,NEFH,15,0,ENSGALG00000008085,-2.6599525058257973,
ENSGALG00010000223,GATSL3,15,0,ENSGALG00000007964,-2.8832287904711387,-2.9593723774363854
ENSGALG00010000221,TBC1D10A,15,0,ENSGALG00000007954,-2.792727270219696,-3.520444181990777
ENSGALG00010000056,UNC45A,10,0,ENSGALG00000029714,-2.1549838895496976,-2.205420074752029
ENSGALG00010000233,HORMAD2,15,0,INRAGALG00000101733;ENSGALG00000008037,-1.308832320130663,
ENSGALG00010000210,CCDC157,15,0,ENSGALG00000007907,-3.2484885145523488,-3.759522308487907
ENSGALG00010000200,GAL3ST1,15,0,ENSGALG00000007781,-2.173115680731196,
ENSGALG00010000196,KSR2,15,0,ENSGALG00000020905,-2.7096594913122862,
ENSGALG00010000475,RNFT2,15,0,ENSGALG00000008217,-1.8420766784565261,-4.850714702995392
ENSGALG00010000584,RBM14,39,0,ENSGALG00000035260,-1.5606434013872295,-1.787686349240716
ENSGALG00010000485,MED13L,15,0,INRAGALG00000101659;ENSGALG00000008238,-1.2596619521630488,
ENSGALG00010000546,FLRT1,39,0,,-2.708378893935329,
ENSGALG00010000576,NOS1,15,0,ENSGALG00000008177,-2.046499908539669,
ENSGALG00010000466,FBXO21,15,0,ENSGALG00000008201,-1.501250999613816,-0.9476315506455298
ENSGALG00010000507,TRPT1,39,0,ENSGALG00000050256,-2.086317210176501,
ENSGALG00010000366,EMID1,15,0,ENSGALG00000050072,-2.5662507372782266,
ENSGALG00010000555,OTUB1,39,0,ENSGALG00000038229,-2.2549794406549966,-0.6836486811101806
ENSGALG00010000376,ASCC2,15,0,ENSGALG00000008059,-1.4347346242168608,-0.8567797909723035
ENSGALG00010000431,AIFM3,15,0,ENSGALG00000007720,-0.8583053905685342,
ENSGALG00010000564,NAA40,39,0,ENSGALG00000038219,-1.5685625263969403,-2.2859697488894875
ENSGALG00010000452,SLC8B1,15,0,ENSGALG00000008337,-1.8340330512295817,-3.0198918973056488
ENSGALG00010000585,SPTBN2,39,0,ENSGALG00000046487;ENSGALG00000046210;ENSGALG00000052834,-3.1083971854465977,
ENSGALG00010000470,FBXW8,15,0,ENSGALG00000008207,-1.4814290681741769,-3.120789096057127
ENSGALG00010000457,CATSPER4,15,0,ENSGALG00000008357,-0.6618083713327866,-2.100323695123452
ENSGALG00010000435,P2RX6,15,0,ENSGALG00000026902,-1.431893712395949,
ENSGALG00010000407,WSB2,15,0,ENSGALG00000008151,-2.324135472184385,-4.217160217804741
ENSGALG00010000449,PLBD2,15,0,ENSGALG00000008319,-2.535306222299357,-1.7449935916020607
ENSGALG00010000583,CCS,39,0,ENSGALG00000048002,-2.9246721407827687,
ENSGALG00010000581,,39,0,,-1.556455958121236,
ENSGALG00010000569,SIPA1,39,0,ENSGALG00000053836,-2.959806182202607,
ENSGALG00010000404,RASAL1,15,0,ENSGALG00000008150,-3.011214493195669,
ENSGALG00010000511,FERMT3,39,0,ENSGALG00000048236,-2.7814842976245013,
ENSGALG00010000387,DTX1,15,0,ENSGALG00000027897,-2.414757601917044,
ENSGALG00010000412,RFC5,15,0,ENSGALG00000026517,-2.4145298670456765,-2.0667083390183554
ENSGALG00010000529,STIP1,39,0,ENSGALG00000046811,-2.1435873788127697,
ENSGALG00010000441,SLC7A4,15,0,ENSGALG00000002204,-2.0649132716341323,
ENSGALG00010000593,FAM173B,2,0,ENSGALG00000013043,-0.22503660395267056,-0.3583385248625325
ENSGALG00010000802,SEMA5A,2,0,ENSGALG00000028685;ENSGALG00000030583,-1.1918282904869764,
ENSGALG00010000614,KAT8,36,0,,-2.0206283636473645,
ENSGALG00010000621,UPP1,2,0,ENSGALG00000013073,-0.26193149224469836,0.3494546341955086
ENSGALG00010000790,MARCHF6,2,0,ENSGALG00000035699,-0.11803532335523625,0.1269072961763581
ENSGALG00010001066,SLC33A1,9,0,ENSGALG00000010302,-1.0859021911196458,-1.604931257145143
ENSGALG00010000816,TBC1D4,1,0,INRAGALG00000002650;INRAGALG00000002652;ENSGALG00000016925,-1.592121316863894,
ENSGALG00010000784,FBXL3,1,0,ENSGALG00000048716,-1.290846883853967,
ENSGALG00010000876,KLHL1,1,0,ENSGALG00000016907,-0.031427620865496775,
ENSGALG00010000715,PCDH20,1,0,ENSGALG00000016934,-0.8757624348228397,0.2052438236056135
ENSGALG00010000818,KLF12,1,0,ENSGALG00000016926,-1.1355293330613545,-0.968044554392524
ENSGALG00010000591,SBK2,2,0,ENSGALG00000013035;ALDBGALG0000002275,-1.5307254737419522,
ENSGALG00010000702,DDC,2,0,ENSGALG00000013094;INRAGALG00000007409;INRAGALG00000007410,-1.0162533983779178,
ENSGALG00010000606,UBE2QL1,2,0,ENSGALG00000032975,-2.836138761869287,-2.546359664858425
ENSGALG00010000644,C7orf72,2,0,ENSGALG00000013084,-0.906516277680236,
ENSGALG00010000787,SNRNP48,2,0,ENSGALG00000013005,-1.1343456765942366,-1.1222108736339524
ENSGALG00010000720,RBM26,1,0,ENSGALG00000016910,-0.7673071030090262,-1.2776483460230477
ENSGALG00010000724,RNF219,1,0,ENSGALG00000016911,-1.5712848779819168,-1.6848263507457246
ENSGALG00010000823,PIBF1,1,0,ENSGALG00000016929,-1.2557195570516082,-0.9661254314314632
ENSGALG00010000806,C5orf49,2,0,ENSGALG00000027654,-1.3343043611478116,
ENSGALG00010000597,CDH9,2,0,ENSGALG00000012923,-0.398612728430106,
ENSGALG00010000808,ADCY2,2,0,ENSGALG00000027654;ENSGALG00000013060,-0.13292490441592775,
ENSGALG00010000814,CDH18,2,0,ENSGALG00000036097,-0.16135379296492824,
ENSGALG00010000626,ABCA13,2,0,ENSGALG00000054253;ENSGALG00000044261;ENSGALG00000048301;ENSGALG00000013079;ENSGALG00000046875,-0.38020777237223546,
ENSGALG00010000684,COBL,2,0,ENSGALG00000013102,-1.0004810341119694,-0.4028763509461996
ENSGALG00010001070,C3orf33,9,0,ENSGALG00000026293,-1.7749415803631012,-2.505368571910796
ENSGALG00010000728,FAM105B,2,0,INRAGALG00000007360;INRAGALG00000007361;ENSGALG00000019543,-0.8445800524642176,
ENSGALG00010000714,FBXL7,2,0,INRAGALG00000007355;ENSGALG00000031947;ALDBGALG0000002661,-2.2428083486953634,
ENSGALG00010000734,SLAIN1,1,0,ENSGALG00000016913,-2.376233933012884,
ENSGALG00010000650,BCKDK,36,0,107050912;ENSGALG00000031066;INRAGALG00000023957;ENSGALG00000040884;ENSGALG00000031245,-2.2620497427540656,
ENSGALG00010000757,SCEL,1,0,,-0.8790790434503393,
ENSGALG00010000605,MARCHF11,2,0,ENSGALG00000042584,-1.545836682617181,
ENSGALG00010000777,MYCBP2,1,0,ENSGALG00000016915,-0.5175135804199889,-1.9609307599710173
ENSGALG00010000803,MTRR,2,0,ENSGALG00000039424,-0.6474804394313608,0.2525083575846097
ENSGALG00010000843,DIS3,1,0,ENSGALG00000016930,-0.3294026596918582,-0.5013402175158506
ENSGALG00010000590,DNAH5,2,0,ENSGALG00000012997,-0.2035804818453183,
ENSGALG00010000805,FASTKD3,2,0,ENSGALG00000033521,-0.9672664129614118,-1.7074617392920968
ENSGALG00010001111,SUCNR1,9,0,ENSGALG00000053278,-1.347900180981719,
ENSGALG00010000795,,1,0,,-2.714104648077883,
ENSGALG00010000611,C7orf57,2,0,ENSGALG00000047701,-0.1232858847213858,
ENSGALG00010000786,ANKRD33B,2,0,ENSGALG00000038328,-1.9620347709564903,
ENSGALG00010000901,PCDH9,1,0,ENSGALG00000016908;ENSGALG00000051651;ENSGALG00000030056,-0.824959763125024,
ENSGALG00010000799,,2,0,,-1.1130415082904703,
ENSGALG00010000599,FAM134B,2,0,ENSGALG00000042679,-1.3538169957304953,-0.994397578713328
ENSGALG00010000789,ROPN1L,2,0,ENSGALG00000013006,-0.9327820406593795,-1.706588673107455
ENSGALG00010000595,MYO10,2,0,ENSGALG00000036466;ENSGALG00000028725,-0.9249362104164924,
ENSGALG00010000633,VWC2,2,0,ENSGALG00000013081,-1.963176818817879,
ENSGALG00010000753,TRIO,2,0,ENSGALG00000031495;ENSGALG00000021788,-1.3803203394280752,
ENSGALG00010001113,IGSF10,9,0,ENSGALG00000044293;ENSGALG00000054344,-1.2479913566413154,
ENSGALG00010000652,SRD5A1,2,0,ENSGALG00000013063,-0.05903916271208598,-0.1586017103111272
