gene_id,gene_name,chromosome,is_X,is_Y,CO_Mega,TE_mean
OR4F5,OR4F5,1,0,0,1.123931216673352,
OR4F29,OR4F29,1,0,0,0.5947256024870491,
OR4F16,OR4F16,1,0,0,0.5947256024870491,
SAMD11,SAMD11,1,0,0,-3.4705844135649677,-4.59579147796782
NOC2L,NOC2L,1,0,0,-2.1877050557464024,-1.55875699878706
KLHL17,KLHL17,1,0,0,-2.9123795904143446,-4.59009445829123
PLEKHN1,PLEKHN1,1,0,0,-3.8316460462066306,
PERM1,PERM1,1,0,0,-3.3183507388320397,
HES4,HES4,1,0,0,-2.9839710692268913,-4.66400061023622
ISG15,ISG15,1,0,0,-2.8829310560605403,-1.19481853312263
AGRN,AGRN,1,0,0,-3.056177567514114,-2.41086475654204
RNF223,RNF223,1,0,0,-2.9937854276011304,
C1orf159,C1orf159,1,0,0,-2.6150006458855266,-2.47980040742032
TTLL10,TTLL10,1,0,0,-3.129895368047954,
TNFRSF18,TNFRSF18,1,0,0,-2.76704748485348,-1.47678133342444
TNFRSF4,TNFRSF4,1,0,0,-3.7247227562821603,
SDF4,SDF4,1,0,0,-2.540992814343298,-2.16944706021195
B3GALT6,B3GALT6,1,0,0,-2.620146846452343,-3.18158462956421
C1QTNF12,C1QTNF12,1,0,0,-3.4087696705796304,
UBE2J2,UBE2J2,1,0,0,-1.6927944977432805,-1.29358638793497
SCNN1D,SCNN1D,1,0,0,-3.384093840634561,-6.2483925880866
ACAP3,ACAP3,1,0,0,-2.666077315258491,-3.36789746012488
PUSL1,PUSL1,1,0,0,-2.9122993370548507,-1.88410134315404
INTS11,INTS11,1,0,0,-1.9169936335261326,-1.37555696065734
CPTP,CPTP,1,0,0,-2.634470583558505,-2.0230235314953
TAS1R3,TAS1R3,1,0,0,-2.6653560509000727,
DVL1,DVL1,1,0,0,-3.39920083906841,-4.73424455053906
MXRA8,MXRA8,1,0,0,-2.550331026118897,-2.09609832843968
AURKAIP1,AURKAIP1,1,0,0,-2.3735041775715793,-1.57111487450519
CCNL2,CCNL2,1,0,0,-2.113313259637156,-3.14916968834397
MRPL20,MRPL20,1,0,0,-0.619805979112737,-0.525341800841141
ANKRD65,ANKRD65,1,0,0,-3.336698341797801,-2.19437797852651
TMEM88B,TMEM88B,1,0,0,-3.3680268206212656,
VWA1,VWA1,1,0,0,-3.2234964778190687,-1.53126368235822
ATAD3C,ATAD3C,1,0,0,-2.256819123948672,-4.15844156931191
ATAD3B,ATAD3B,1,0,0,-2.6137915774966327,-4.40976699063236
ATAD3A,ATAD3A,1,0,0,-2.5576525149928724,-1.9680444300904
TMEM240,TMEM240,1,0,0,-2.0811897168373754,
SSU72,SSU72,1,0,0,-1.3026176860806196,-1.55897176247282
FNDC10,FNDC10,1,0,0,-2.500127788148937,
MIB2,MIB2,1,0,0,-2.9855166643580375,-3.64011631731471
MMP23B,MMP23B,1,0,0,-2.8231120707672464,
CDK11B,CDK11B,1,0,0,-2.610978252740294,-1.51653961962706
SLC35E2B,SLC35E2B,1,0,0,-1.5069333767400135,-3.40874071901696
CDK11A,CDK11A,1,0,0,-2.6089768188748312,-1.72706195002858
NADK,NADK,1,0,0,-1.9837851095892969,-2.39435607479464
GNB1,GNB1,1,0,0,-1.1312974201130004,-1.69643930130202
CALML6,CALML6,1,0,0,-1.1773492934510568,
TMEM52,TMEM52,1,0,0,-2.8166892481866572,-2.76392082871115
CFAP74,CFAP74,1,0,0,-2.4365770207471975,
GABRD,GABRD,1,0,0,-2.0043436634887595,
PRKCZ,PRKCZ,1,0,0,-1.826092890692987,-2.4247333865304
FAAP20,FAAP20,1,0,0,-3.3981202830856976,-2.58682435365863
SKI,SKI,1,0,0,-2.8982888914330633,-3.94604415850126
MORN1,MORN1,1,0,0,-2.5666315387489718,-2.0610446066664
RER1,RER1,1,0,0,0.4156909274692495,0.432941436370246
PEX10,PEX10,1,0,0,-3.0401005887297394,-3.22335067728942
PLCH2,PLCH2,1,0,0,-2.8653506917548075,-5.15432443814924
PANK4,PANK4,1,0,0,-1.9817642324908693,-1.73928790985649
HES5,HES5,1,0,0,-3.266640202784762,
TNFRSF14,TNFRSF14,1,0,0,-2.5616039449898462,-3.54606132857016
PRXL2B,PRXL2B,1,0,0,-2.296924187191401,-1.13700462965369
MMEL1,MMEL1,1,0,0,-1.9462875617002808,
TTC34,TTC34,1,0,0,-3.103930956074219,
ACTRT2,ACTRT2,1,0,0,-2.2688387243450734,
PRDM16,PRDM16,1,0,0,-2.933467427539343,
ARHGEF16,ARHGEF16,1,0,0,-3.0934116857982588,-2.29132466973638
MEGF6,MEGF6,1,0,0,-3.23019489138321,-2.40207887558608
TPRG1L,TPRG1L,1,0,0,-1.7902758614411862,-0.997356588397012
WRAP73,WRAP73,1,0,0,-1.5715185316345721,-1.06108444155134
TP73,TP73,1,0,0,-2.9838121266083313,
CCDC27,CCDC27,1,0,0,-2.99947392871532,
SMIM1,SMIM1,1,0,0,-2.66844190511506,-1.14141839897613
LRRC47,LRRC47,1,0,0,-2.498343940645027,-1.87109259800676
CEP104,CEP104,1,0,0,-0.6073770425182197,-2.80557300371019
DFFB,DFFB,1,0,0,-2.462153371608675,-2.65387565620084
C1orf174,C1orf174,1,0,0,-1.5673220276002002,-0.736874960591379
AJAP1,AJAP1,1,0,0,-3.248134221888918,
NPHP4,NPHP4,1,0,0,-2.395517161526609,
KCNAB2,KCNAB2,1,0,0,-1.7577793399679322,-2.84756792134027
CHD5,CHD5,1,0,0,-2.1302311852678777,
RPL22,RPL22,1,0,0,0.45205985800839166,0.564486602888907
RNF207,RNF207,1,0,0,-2.7998702753742517,-4.14381563613212
ICMT,ICMT,1,0,0,-0.4118579136164442,-0.0314085471848329
HES3,HES3,1,0,0,-3.4448584304226664,
GPR153,GPR153,1,0,0,-2.5199354856830123,-6.05892569352424
ACOT7,ACOT7,1,0,0,-2.223357184396159,-1.1518533536361
HES2,HES2,1,0,0,-2.9415647060722563,
ESPN,ESPN,1,0,0,-3.2460457564842944,-1.74952182775094
TNFRSF25,TNFRSF25,1,0,0,-2.2159805957158962,
PLEKHG5,PLEKHG5,1,0,0,-3.1528287883050687,-4.39544849335426
NOL9,NOL9,1,0,0,-0.6608629918788189,-0.145201211133495
TAS1R1,TAS1R1,1,0,0,-1.4874905170857566,
ZBTB48,ZBTB48,1,0,0,-2.5698228109877483,-2.36540816868702
KLHL21,KLHL21,1,0,0,-1.9873602750129553,-1.86571048427769
PHF13,PHF13,1,0,0,-1.8005899356048385,-1.22774289997195
THAP3,THAP3,1,0,0,-2.5639545847616176,-1.68005670727666
DNAJC11,DNAJC11,1,0,0,-1.1683196782808682,-1.32898149031654
CAMTA1,CAMTA1,1,0,0,-2.226586304292697,1.51909671428101
VAMP3,VAMP3,1,0,0,0.2883462523680862,0.351409549544101
PER3,PER3,1,0,0,-1.420214337588547,-3.16104877333361
UTS2,UTS2,1,0,0,0.012815184265837942,
TNFRSF9,TNFRSF9,1,0,0,-0.7979631574272936,
PARK7,PARK7,1,0,0,0.366603955106795,0.244815197780173
ERRFI1,ERRFI1,1,0,0,-0.7505042318362118,-0.379530255416294
SLC45A1,SLC45A1,1,0,0,-2.4081505506343603,
RERE,RERE,1,0,0,-2.9755484664752156,-3.51098821216918
ENO1,ENO1,1,0,0,-0.25339640540969555,0.262473574369641
CA6,CA6,1,0,0,-0.9624376258022824,
SLC2A7,SLC2A7,1,0,0,-1.3118689890641164,
SLC2A5,SLC2A5,1,0,0,-0.9238625328051953,
GPR157,GPR157,1,0,0,-1.8148607282792675,-2.2937563760222
H6PD,H6PD,1,0,0,-2.488529487259868,-1.79166571485553
SPSB1,SPSB1,1,0,0,-1.6859149660956891,-2.18457084927779
SLC25A33,SLC25A33,1,0,0,0.4115126980402142,-1.27149432487308
TMEM201,TMEM201,1,0,0,-2.9941076045337827,-2.38945675110722
PIK3CD,PIK3CD,1,0,0,-2.087353551047771,-2.5510158789002
CLSTN1,CLSTN1,1,0,0,-1.7777902387065883,-1.21322098487223
CTNNBIP1,CTNNBIP1,1,0,0,-2.5211002285945714,-2.25667509850944
LZIC,LZIC,1,0,0,0.6152003593087247,1.80033207560958
NMNAT1,NMNAT1,1,0,0,-0.26356003837331876,1.56741732163323
RBP7,RBP7,1,0,0,-0.5214192170004566,-0.0826513690040229
UBE4B,UBE4B,1,0,0,-0.8150855709903073,-1.42695757715958
KIF1B,KIF1B,1,0,0,-0.660773505049395,-1.38102938773199
PGD,PGD,1,0,0,-0.331601680833824,-0.396321499126959
CENPS,CENPS,1,0,0,-0.43052244419187247,
CORT,CORT,1,0,0,-2.803100524897003,
DFFA,DFFA,1,0,0,-1.8300351234757866,-1.1024848814962
PEX14,PEX14,1,0,0,-3.343409543928246,-1.37186011579696
CASZ1,CASZ1,1,0,0,-2.714987104131408,
C1orf127,C1orf127,1,0,0,-2.560593962698226,
TARDBP,TARDBP,1,0,0,0.239062946040276,0.77587444509622
MASP2,MASP2,1,0,0,-0.7537060533705446,-0.213188744058937
SRM,SRM,1,0,0,-2.041938007022358,-2.200879255462
EXOSC10,EXOSC10,1,0,0,-0.7240587562684642,-0.83024928219824
MTOR,MTOR,1,0,0,-0.907819591814123,-1.96002597934105
ANGPTL7,ANGPTL7,1,0,0,-1.2329583654286331,
UBIAD1,UBIAD1,1,0,0,-1.3634213685349792,-1.11386130700312
DISP3,DISP3,1,0,0,-2.0855475165204975,
FBXO2,FBXO2,1,0,0,-2.933966364351406,-1.01989101414251
FBXO44,FBXO44,1,0,0,-1.8724763001649478,-1.9346598674649
FBXO6,FBXO6,1,0,0,-1.4528637505338882,-1.00419431223897
MAD2L2,MAD2L2,1,0,0,-1.5240987942293671,-1.17627374723868
DRAXIN,DRAXIN,1,0,0,-2.9723470128829472,
AGTRAP,AGTRAP,1,0,0,-1.5332448309288331,-0.179361286244911
C1orf167,C1orf167,1,0,0,-3.1005916406918406,
MTHFR,MTHFR,1,0,0,-1.719932240073069,-1.86315627332301
CLCN6,CLCN6,1,0,0,-0.8024195932639611,-1.61901785055718
NPPA,NPPA,1,0,0,-1.9296520294099526,
NPPB,NPPB,1,0,0,-3.135872381844816,
KIAA2013,KIAA2013,1,0,0,-2.6442925239119717,-2.90498988319978
PLOD1,PLOD1,1,0,0,-1.7042319993492487,-0.97473060282958
MFN2,MFN2,1,0,0,-1.316781220938056,-1.6144026373432
MIIP,MIIP,1,0,0,-3.758504067112879,-2.9049017299484
TNFRSF8,TNFRSF8,1,0,0,-2.7495553574807072,
TNFRSF1B,TNFRSF1B,1,0,0,-2.8076776565402692,-1.91145226480344
VPS13D,VPS13D,1,0,0,-0.33402230293101987,-3.02929157699733
DHRS3,DHRS3,1,0,0,-1.640541772502532,-0.987113919740668
AADACL4,AADACL4,1,0,0,-0.23679734502896643,
AADACL3,AADACL3,1,0,0,-0.37755155541429986,
CFAP107,CFAP107,1,0,0,-1.3645853618198647,
PRAMEF12,PRAMEF12,1,0,0,-1.820434053617996,
PRAMEF1,PRAMEF1,1,0,0,-1.2518102569229015,
PRAMEF11,PRAMEF11,1,0,0,-0.8656845949058773,
HNRNPCL1,HNRNPCL1,1,0,0,0.1790266391224904,
PRAMEF2,PRAMEF2,1,0,0,-1.4230319219235934,
PRAMEF4,PRAMEF4,1,0,0,-0.7061970167007043,
PRAMEF10,PRAMEF10,1,0,0,-1.1176341606561344,
PRAMEF7,PRAMEF7,1,0,0,-1.7889956785775425,
PRAMEF6,PRAMEF6,1,0,0,-0.894071848366039,
PRAMEF27,PRAMEF27,1,0,0,-0.7098854736573141,
HNRNPCL3,HNRNPCL3,1,0,0,0.2118413199360294,
PRAMEF25,PRAMEF25,1,0,0,-0.8183269904775923,
HNRNPCL2,HNRNPCL2,1,0,0,0.12419879002789536,
PRAMEF26,PRAMEF26,1,0,0,-0.8183269904775923,
HNRNPCL4,HNRNPCL4,1,0,0,0.20207757707934348,
PRAMEF9,PRAMEF9,1,0,0,-0.8008594718465112,
PRAMEF13,PRAMEF13,1,0,0,-1.3429663679006616,
PRAMEF18,PRAMEF18,1,0,0,-1.1216041531317789,
PRAMEF5,PRAMEF5,1,0,0,-0.9225167063093593,
PRAMEF8,PRAMEF8,1,0,0,-1.7545454820467974,
PRAMEF33,PRAMEF33,1,0,0,-1.116551334157771,
PRAMEF15,PRAMEF15,1,0,0,-0.7481028710256439,
PRAMEF14,PRAMEF14,1,0,0,-1.205331910772145,
PRAMEF19,PRAMEF19,1,0,0,-1.0256051635246894,
PRAMEF17,PRAMEF17,1,0,0,-1.1593235576201746,
PRAMEF20,PRAMEF20,1,0,0,-1.0505528718665378,
LRRC38,LRRC38,1,0,0,-2.5752642832382655,
PDPN,PDPN,1,0,0,-0.7206876099139503,
PRDM2,PRDM2,1,0,0,-0.9966497826783378,-2.44441812788274
KAZN,KAZN,1,0,0,-2.7968559204883547,-5.11466286481748
TMEM51,TMEM51,1,0,0,-2.4763508630569078,-1.80591289324787
FHAD1,FHAD1,1,0,0,-1.706897068429706,
EFHD2,EFHD2,1,0,0,-2.2641609610416964,-1.78565539932985
CTRC,CTRC,1,0,0,-1.8879089526289672,
CELA2A,CELA2A,1,0,0,-1.939566335793911,
CELA2B,CELA2B,1,0,0,-1.5314285382251676,
CASP9,CASP9,1,0,0,-1.5586716092454722,-1.12251492701232
DNAJC16,DNAJC16,1,0,0,-0.3059497171471719,0.325428634044905
AGMAT,AGMAT,1,0,0,-1.2543632099231168,-0.725427557001227
DDI2,DDI2,1,0,0,-1.1256827090755177,-1.36085960613005
RSC1A1,RSC1A1,1,0,0,-0.38950589179485284,-3.82943558671289
PLEKHM2,PLEKHM2,1,0,0,-2.5655173361561765,-3.96363478100298
SLC25A34,SLC25A34,1,0,0,-1.8789036444011753,-3.49195471716861
TMEM82,TMEM82,1,0,0,-2.9484385195370066,-1.29119964325173
FBLIM1,FBLIM1,1,0,0,-2.5378336715986016,-2.47867181494031
UQCRHL,UQCRHL,1,0,0,-1.9251873564089212,
SPEN,SPEN,1,0,0,-1.566567232922127,-3.09183522534829
ZBTB17,ZBTB17,1,0,0,-2.922179974210451,-3.69208413407708
SRARP,SRARP,1,0,0,-2.22612302625444,
HSPB7,HSPB7,1,0,0,-2.3998875317638557,0.009168252915881
CLCNKA,CLCNKA,1,0,0,-1.3875536061479412,
CLCNKB,CLCNKB,1,0,0,-1.3572088515461438,
FAM131C,FAM131C,1,0,0,-3.300816189738372,
EPHA2,EPHA2,1,0,0,-1.7882121130552697,-1.91994482744628
ARHGEF19,ARHGEF19,1,0,0,-3.110397414986638,-4.28123565733103
CPLANE2,CPLANE2,1,0,0,-1.8915917800312787,-3.50743766472056
FBXO42,FBXO42,1,0,0,-1.0560048950360663,-1.56601431591453
SZRD1,SZRD1,1,0,0,-3.5158497080143167,-2.23844524479779
SPATA21,SPATA21,1,0,0,-2.3276459364151414,
NECAP2,NECAP2,1,0,0,-1.8243749159533476,-0.993559776231005
CROCC,CROCC,1,0,0,-3.9784351312589177,-3.64690980520198
MFAP2,MFAP2,1,0,0,-2.091347348176294,-0.729552663887569
ATP13A2,ATP13A2,1,0,0,-2.2067544443528817,-3.85606731716027
SDHB,SDHB,1,0,0,0.28373009445185815,0.784985400815613
PADI2,PADI2,1,0,0,-1.44618952568689,
PADI1,PADI1,1,0,0,-1.497339454151989,
PADI3,PADI3,1,0,0,-1.7317420888768513,
PADI4,PADI4,1,0,0,-1.689984254545175,-4.25071518516909
PADI6,PADI6,1,0,0,-1.1741747468441872,
RCC2,RCC2,1,0,0,-1.663618131388148,-2.32563329593825
ARHGEF10L,ARHGEF10L,1,0,0,-2.730654392798863,-3.0153355295986
ACTL8,ACTL8,1,0,0,-1.8371632071882917,
IGSF21,IGSF21,1,0,0,-2.1241198907657903,
KLHDC7A,KLHDC7A,1,0,0,-2.72137732868665,-1.74507857158053
PAX7,PAX7,1,0,0,-2.4549631150717133,
TAS1R2,TAS1R2,1,0,0,-1.4376900643849453,
ALDH4A1,ALDH4A1,1,0,0,-1.8745927812339502,-0.895675789442175
IFFO2,IFFO2,1,0,0,-2.5469074570755215,-2.13031952861539
UBR4,UBR4,1,0,0,-0.8434693973412539,-2.28949649520459
EMC1,EMC1,1,0,0,-0.9391940139570689,0.0992914295949318
MRTO4,MRTO4,1,0,0,-0.9538041210718884,-0.147261268314753
AKR7A3,AKR7A3,1,0,0,-2.2146876545454433,-0.454030808405527
