chicken_gene_id,gene_name,gene_id,chromosome,is_X,is_Y,CO_Mega_human,CO_Mega_chicken,exp_codon_score_human,exp_codon_score_chicken,normalized_score,log2_normalized_score
ENSGALG00010007504,TMPRSS15,TMPRSS15,21,0,0,0.6768015448224691,0.0214486418579176,1.5985917454624214,1.0149781301695724,1.5750011728778281,0.6553529029645517
ENSGALG00010007068,NCAM2,NCAM2,21,0,0,0.3609513518373308,-0.1248806472820498,1.2842725021579617,0.9170799091702203,1.4003932365282974,0.48583199911938074
ENSGALG00010011654,CLDN8,CLDN8,21,0,0,0.5455204245400012,-0.152546880795717,1.4595467527601327,0.8996608317224158,1.6223299951447323,0.6980673053357181
ENSGALG00010007467,CHODL,CHODL,21,0,0,-0.0353516129929136,-0.567850225213936,0.9757939117355371,0.6746212999996237,1.4464321119657522,0.5324986122210225
ENSGALG00010013099,SIM2,SIM2,21,0,0,-2.1601555853806005,-0.8702999288671338,0.22373213835886321,0.5470331134417812,0.4089919474000439,-1.2898556565134667
ENSGALG00010013109,RIPPLY3,RIPPLY3,21,0,0,-2.6293347506521734,-0.6832011679262717,0.16161861153080598,0.6227818616618882,0.25951078777331127,-1.9461335827259019
ENSGALG00010011961,AGPAT3,AGPAT3,21,0,0,-0.9665442791538136,0.0553471388193576,0.5117303555529096,1.0391091018786127,0.4924702850044799,-1.021891417973171
ENSGALG00010013549,PCP4,PCP4,21,0,0,0.4443338728635719,-1.2018242836290547,1.3606857099872955,0.434725225182413,3.1299902355938616,1.6461581564926264
ENSGALG00010010941,RIPK4,RIPK4,21,0,0,-2.787322243004512,-1.340816290570653,0.1448546353779056,0.3947972127079888,0.36690896165228787,-1.446505952433859
ENSGALG00010011115,TFF2,TFF2,21,0,0,-2.1680410118841724,-0.324393864544051,0.22251260779681659,0.7986338547718117,0.278616548080589,-1.8436471473401213
ENSGALG00010011139,UBASH3A,UBASH3A,21,0,0,-2.073063729033436,-1.3369017774051608,0.23765427703064768,0.39586988391453454,0.600334318641818,-0.7361619516282754
ENSGALG00010011004,UMODL1,UMODL1,21,0,0,-2.0262673145071464,-1.070923734706487,0.2454894082871656,0.47601411715277214,0.515718755896431,-0.9553435798006593
ENSGALG00010013504,IGSF5,IGSF5,21,0,0,-0.7677256350569248,-0.3256002792763605,0.5873426730476543,0.7979662979496777,0.7360494729624459,-0.4421253557805643
ENSGALG00010010646,MCM3AP,MCM3AP,21,0,0,-1.470901270088019,-1.2278501961706758,0.36075685903547633,0.42695318804876603,0.8449564709522,-0.2430510739173431
ENSGALG00010000876,KLHL1,KLHL1,13,0,0,0.0788996442075884,-0.0314276208654967,1.0562121512695852,0.978451590253863,1.0794730794965002,0.11032726507308496
ENSGALG00010013135,TTC3,TTC3,21,0,0,0.3695419325270901,-0.6084490200865023,1.2919425631808215,0.6559014547189612,1.9697205332993037,0.9779909526135923
ENSGALG00010002358,FREM2,FREM2,13,0,0,-0.5851331733027951,-1.0817903965132358,0.6665878038523676,0.47244215477470636,1.4109405714869867,0.49665722321044076
ENSGALG00010000726,POU4F1,POU4F1,13,0,0,-2.8747434586908813,-2.200995580321608,0.13633770811969967,0.21748750444641873,0.6268760518758377,-0.6737478783692734
ENSGALG00010002716,NHLRC3,NHLRC3,13,0,0,1.056075329818869,-0.8231295662631142,2.0792674357408405,0.5652145202202686,3.678722611249501,1.8792048960819832
ENSGALG00010002406,DIAPH3,DIAPH3,13,0,0,0.0135313308031541,-0.6133623612035959,1.0094233263643184,0.6536714712154026,1.5442364717056558,0.6268936920067502
ENSGALG00010014876,PCNT,PCNT,21,0,0,-2.446128127818797,-1.404940270745627,0.18350253165714556,0.3776337805452486,0.4859272160244627,-1.04118785707317
ENSGALG00010012102,SON,SON,21,0,0,-0.6131757702992306,-1.6581429077277308,0.6537560192559049,0.3168467433550188,2.0633193585435965,1.0449671374285001
ENSGALG00010002415,PCDH17,PCDH17,13,0,0,-1.917205430183806,-1.9480570156977344,0.26476687994293185,0.2591650327804345,1.0216149806260448,0.03085158551392869
ENSGALG00010003843,LRCH1,LRCH1,13,0,0,-1.1325736646540785,-1.116081249944068,0.4561013467891484,0.46134526347443644,0.9886334225135518,-0.01649241471001034
ENSGALG00010005934,SLITRK6,SLITRK6,13,0,0,0.2068604629765627,-0.7184594564009684,1.154173780782852,0.6077460613277988,1.899105324123734,0.9253199193775312
ENSGALG00010013310,MYO16,MYO16,13,0,0,-0.9633934691567064,-0.7597188334965529,0.5128491831910617,0.5906114236231825,0.8683360373304696,-0.20367463566015367
ENSGALG00010007819,NRIP1,NRIP1,21,0,0,-0.4507497495636716,-1.584328975203085,0.7316625138063617,0.33347974095226257,2.194023875984415,1.1335792256394133
ENSGALG00010013322,IRS2,IRS2,13,0,0,-3.571723086122136,-2.759622183443176,0.0841015916173844,0.1476627479023893,0.5695518525293782,-0.81210090267896
ENSGALG00010014998,NALF1,NALF1,13,0,0,-1.915208648300263,-1.0636494040874127,0.26513358789414787,0.47842032802976114,0.5541854565127398,-0.8515592442128502
ENSGALG00010011636,GRIK1,GRIK1,21,0,0,0.3329496166062249,-0.3356300925580712,1.2595859905225264,0.7924379662119355,1.5895073737363732,0.6685797091642963
ENSGALG00010006342,RFXAP,RFXAP,13,0,0,-1.9501189251079083,-1.81093638036217,0.2587948969439857,0.28500588602100474,0.9080335166302941,-0.13918254474573838
ENSGALG00010003718,SIAH3,SIAH3,13,0,0,-2.686944928628318,-1.6507309522620943,0.15529196300262363,0.3184787562955339,0.4876054051734606,-1.0362139763662235
