gene_id,gene_name,l1_diff,rmse_diff
ENSMUSG00000000126,Wnt9a,0.01870649000649341,0.0008570677954657823
ENSMUSG00000000127,Fer,0.001213592233299971,2.4698530287940745e-05
ENSMUSG00000020875,Hoxb9,0.003984063744739988,8.884653986584843e-05
ENSMUSG00000000167,Pih1d2,0.0031645569617900294,6.244781355441597e-05
ENSMUSG00000000028,Cdc45,0.001763668430420013,3.555946433681007e-05
ENSMUSG00000000120,Ngfr,0.0023364485979300046,5.323095002703959e-05
ENSMUSG00000000093,Tbx2,0.001404494381999981,3.1222215908461364e-05
ENSMUSG00000035352,Ccl12,0.009523809524550085,0.00021683305923294213
ENSMUSG00000000183,Fgf6,0.004784688995180041,0.00010022584838140648
ENSMUSG00000000159,Igsf5,0.0026954177902700693,5.1680729653801524e-05
ENSMUSG00000048583,Igf2,0.0899305555558422,0.0025160604092190897
ENSMUSG00000000182,Fgf23,0.003968253968119984,8.099467856035303e-05
ENSMUSG00000000171,Sdhd,0.006249999999999992,0.00013974785948940235
ENSMUSG00000000149,Gna12,0.0026315789473399746,6.500808427322753e-05
ENSMUSG00000035385,Ccl2,0.006711409396600036,0.00014007111669969884
ENSMUSG00000000085,Scmh1,0.0015037593980999878,2.8378064675093123e-05
ENSMUSG00000020152,Actr2,0.002531645569920016,5.0218436857956296e-05
ENSMUSG00000000157,Itgb2l,0.001353179972729997,2.7823426577897142e-05
ENSMUSG00000000001,Gnai3,0.002816901407500007,5.610067229352906e-05
ENSMUSG00000000049,Apoh,0.0028901734113800197,5.5309414029616135e-05
ENSMUSG00000000125,Wnt3,0.0028089887641799824,6.020126127811361e-05
ENSMUSG00000000003,Pbsn,0.005714285714090011,0.00011981903020097558
ENSMUSG00000000078,Klf6,0.003134796237939988,6.0267711813805263e-05
ENSMUSG00000000058,Cav2,0.0061349693248499175,0.0001315440990182513
ENSMUSG00000062661,Ncs1,0.005235602094359956,0.00012493867117427244
ENSMUSG00000000088,Cox5a,0.006802721088119915,0.0001421801800339623
ENSMUSG00000000184,Ccnd2,0.003448275861970007,8.236861389704637e-05
ENSMUSG00000000305,Cdh4,0.001094091903819986,2.2542087736125763e-05
ENSMUSG00000000253,Gmpr,0.002890173410960005,6.049531232102485e-05
ENSMUSG00000000295,Hddc2,0.0049999999999999906,0.00010742106261193961
ENSMUSG00000000308,Ckmt1,0.0023866348455699915,4.7411032359186135e-05
ENSMUSG00000000290,Itgb2,0.0012970168610299902,2.637355459223911e-05
ENSMUSG00000000197,Nalcn,0.0005747126436899967,1.0578298978291485e-05
ENSMUSG00000000216,Scnn1g,0.001524390244659989,2.974600145020458e-05
ENSMUSG00000000202,Btbd17,0.002087682672330002,4.799406437941163e-05
ENSMUSG00000000248,Clec2g,0.003703703704549934,7.397734086098039e-05
ENSMUSG00000000278,Scpep1,0.0022075055188799774,4.400365628133994e-05
ENSMUSG00000026535,Ifi202b,0.002242152466539999,4.9177409805326786e-05
ENSMUSG00000000282,Mnt,0.0016891891891399474,3.9460240794964444e-05
ENSMUSG00000000247,Lhx2,0.0024570024578399645,5.011993253795452e-05
ENSMUSG00000000303,Cdh1,0.0011299435037599637,2.223593497892989e-05
ENSMUSG00000038257,Glra3,0.05124023227510241,0.0010829492167675847
ENSMUSG00000000214,Th,0.0020040080157299814,4.2568498922574285e-05
ENSMUSG00000000276,Dgke,0.0017699115049500344,3.3288648868026486e-05
ENSMUSG00000000740,Rpl13,0.004716981132310066,0.00010910623597629853
ENSMUSG00000000628,Hk2,0.0010893246186999684,2.3410719530967612e-05
ENSMUSG00000000567,Sox9,0.001968503937019993,4.566226345705909e-05
ENSMUSG00000000378,Ccm2,0.002202643172370033,4.4828623948424e-05
ENSMUSG00000000359,Rem1,0.003355704698659994,7.320945240077251e-05
ENSMUSG00000020676,Ccl11,0.01020408163169996,0.00024872214933494577
ENSMUSG00000032050,Rdx,0.0017123287672699975,3.863882769219981e-05
ENSMUSG00000000730,Dnmt3l,0.002369668246340006,4.799404427097148e-05
ENSMUSG00000000439,Mkrn2,0.0023980815347600373,4.5522483906213415e-05
ENSMUSG00000000339,Rtca,0.0027247956405299966,5.2000126042047794e-05
ENSMUSG00000000411,Tssk3,0.0037174721189399693,7.60170029566784e-05
ENSMUSG00000000340,Dbt,0.002070393375339959,3.930667952626402e-05
ENSMUSG00000029730,Mcm7,0.0013888888887199705,2.723644269161038e-05
ENSMUSG00000000739,Sult5a1,0.0034246575343000137,7.459863788736533e-05
ENSMUSG00000000441,Raf1,0.0015408320487399572,2.8750745725442966e-05
ENSMUSG00000000346,Dazap2,0.005917159763649935,0.0001437427502902504
ENSMUSG00000000562,Adora3,0.0031249999999999924,6.666588475187533e-05
ENSMUSG00000000531,Tamalin,0.002544529262599991,5.4562605430954614e-05
ENSMUSG00000000384,Tbrg4,0.0015847860537599981,3.574954573764988e-05
ENSMUSG00000000435,Myf5,0.003906249999999986,8.230659107873975e-05
ENSMUSG00000028494,Plin2,0.0023474178399199817,4.987073659969182e-05
ENSMUSG00000000627,Sema4f,0.0012853470445799852,2.4623086566746397e-05
ENSMUSG00000000753,Serpinf1,0.002392344497540008,4.97818427271213e-05
ENSMUSG00000000532,Acvr1b,0.0019762845849600206,3.809075095082611e-05
ENSMUSG00000074340,Ovgp1,0.001385041551259999,2.866345217525401e-05
ENSMUSG00000000594,Gm2a,0.005154639175299975,0.00011064948181137203
ENSMUSG00000000743,Chmp1a,0.005076142131639949,0.0001376034613541974
ENSMUSG00000000374,Trappc10,0.0007942811756239827,1.5595293692219767e-05
ENSMUSG00000000489,Pdgfb,0.00413223140480003,8.718033240466739e-05
ENSMUSG00000000693,Loxl3,0.0013245033109799877,2.556908928036411e-05
ENSMUSG00000000708,Kat2b,0.0012285012293799522,2.3505961606803573e-05
ENSMUSG00000000385,Tmprss2,0.002036659878000017,3.83759537631429e-05
ENSMUSG00000000701,Tcl1b5,0.008196721310820035,0.00018337648466981707
ENSMUSG00000000581,C1d,0.007042253520539967,0.00016416112994097404
ENSMUSG00000029231,Pdgfra,0.0009174311927600005,1.79416235408812e-05
ENSMUSG00000000320,Alox12,0.001506024095900017,2.9567098974867134e-05
ENSMUSG00000000673,Haao,0.0034843205573300198,7.444988178795852e-05
ENSMUSG00000000690,Hoxb6,0.0044444444442499524,0.00010356668031028511
ENSMUSG00000000711,Rab5b,0.004629629629959961,9.546682144032158e-05
ENSMUSG00000000355,Mcts1,0.005494505495169932,0.0001227249033752705
ENSMUSG00000000402,Egfl6,0.0018148820327900227,3.5221933795240744e-05
ENSMUSG00000000682,Cd52,0.013333333333600058,0.00033111260156557654
ENSMUSG00000001173,Ocrl,0.0011098779133800354,2.099585066700689e-05
ENSMUSG00000000983,Wfdc18,0.01333333333370005,0.0003246195672869878
ENSMUSG00000000976,Heatr6,0.0008438818565400154,1.5822458491197592e-05
ENSMUSG00000001095,Slc13a2,0.00170357751291003,3.59688290707206e-05
ENSMUSG00000001082,Mfsd10,0.0021881838075799506,4.677547734093385e-05
ENSMUSG00000000794,Kcnn3,0.0013642564801400064,2.7812105185075714e-05
ENSMUSG00000001157,Gmcl1,0.00190476190463004,3.5524643817924355e-05
ENSMUSG00000000787,Ddx3x,0.001508295625990027,2.9614788384910728e-05
ENSMUSG00000001349,Cnn1,0.0033557046981199934,7.355168777390239e-05
ENSMUSG00000001158,Snrnp27,0.0064102564101600045,0.00015734724301304692
ENSMUSG00000029994,Anxa4,0.003124999999999975,6.607328735151651e-05
ENSMUSG00000000889,Dbh,0.0016051364359100113,3.2289278200329034e-05
ENSMUSG00000001313,Rnd2,0.0043859649127000674,9.266232945633164e-05
ENSMUSG00000001054,Rmnd5b,0.0025380710665099783,5.603953630220234e-05
ENSMUSG00000020241,Col6a2,0.0009661835747210095,2.0359095322930433e-05
ENSMUSG00000001300,Efnb2,0.002967359049789969,5.465152982031651e-05
ENSMUSG00000001225,Slc26a3,0.001319261213419998,2.5075781614866816e-05
ENSMUSG00000001305,Rrp15,0.003546099291280023,8.502392157559291e-05
ENSMUSG00000000811,Txnrd3,0.0633698128714371,0.0013739421308728668
ENSMUSG00000000759,Tubgcp3,0.00110375275941001,2.0904482723901296e-05
ENSMUSG00000063558,Aox1,0.0007496251872699789,1.3807079447322187e-05
ENSMUSG00000000915,Hip1r,0.0009354536950399906,2.177781934339849e-05
ENSMUSG00000020829,Slc46a1,0.0021739130434300386,4.7582706613451744e-05
ENSMUSG00000001100,Poldip2,0.0027100270999200317,5.023045281006021e-05
ENSMUSG00000001053,N4bp3,0.0018587360589999956,4.231134758981494e-05
ENSMUSG00000000776,Polr3d,0.002506265664639996,5.5133601898127214e-05
ENSMUSG00000001065,Zfp276,0.001626016259799995,3.261087576021147e-05
ENSMUSG00000001270,Ckb,0.0026178010471599785,5.939932913671338e-05
ENSMUSG00000001228,Uhrf1,0.0012771392083600127,2.5930834641929837e-05
ENSMUSG00000001248,Gramd1a,0.001383125864470007,2.8103400440846526e-05
ENSMUSG00000000901,Mmp11,0.002028397565640016,4.025643008392468e-05
ENSMUSG00000001029,Icam2,0.0035971223025199664,7.172717133326717e-05
ENSMUSG00000029130,Rnf32,0.0027100270998200292,5.16269789075179e-05
ENSMUSG00000029844,Hoxa1,0.002967359050199971,5.9683799160284936e-05
ENSMUSG00000052783,Grk4,0.3550679246761031,0.007044263558723961
ENSMUSG00000000982,Ccl3,0.010752688172699969,0.0002458930130912831
ENSMUSG00000001119,Col6a1,0.0009746588698400205,1.9882327451077467e-05
ENSMUSG00000001127,Araf,0.0016528925616000239,3.2337883120693495e-05
ENSMUSG00000001021,S100a3,0.009803921568019992,0.00024700860600574445
ENSMUSG00000001020,S100a4,0.009803921567919979,0.0002463824741903543
ENSMUSG00000001138,Cnnm3,0.04336352684457832,0.0011614346545414265
ENSMUSG00000001155,Ftcd,0.0018450184501499858,4.057604390649381e-05
ENSMUSG00000001025,S100a6,0.011111111111699948,0.00029690131010011575
ENSMUSG00000000959,Oxa1l,0.0023041474653699955,4.4900623451486875e-05
ENSMUSG00000001128,Cfp,0.0021505376340100178,4.427267364372115e-05
ENSMUSG00000001227,Sema6b,0.0011273957156499978,2.2728536638309358e-05
ENSMUSG00000001156,Mxd1,0.004385964912820055,0.0001020896470384868
ENSMUSG00000001376,Vps50,0.03899968768133106,0.0007901783961599038
ENSMUSG00000000869,Il4,0.007092198582000006,0.00014561402358684818
ENSMUSG00000117679,Apbb3,0.006050312233968716,0.00037434446129452437
ENSMUSG00000000934,Top1mt,0.0016835016839499535,3.6539458172814e-05
ENSMUSG00000001014,Icam4,0.003802281368500004,7.905281331069371e-05
ENSMUSG00000053329,Gatd3a,0.0037453183520199367,8.009690937125968e-05
ENSMUSG00000027489,Necab3,0.002824858757280057,5.881455623489943e-05
ENSMUSG00000001211,Agpat3,0.0026525198935999977,5.849518251394353e-05
ENSMUSG00000000792,Slc5a5,0.001615508884639974,3.442371516279681e-05
ENSMUSG00000000902,Smarcb1,0.0025906735756399592,5.605459028890251e-05
ENSMUSG00000001016,Ilf2,0.002557544757019998,5.00273956299998e-05
ENSMUSG00000079610,Ankrd39,0.005434782607999983,0.00012292049908974078
ENSMUSG00000001052,Sec24b,0.0007987220447799887,1.4974490876027588e-05
ENSMUSG00000000817,Fasl,0.0035714285720299947,7.047600919090453e-05
ENSMUSG00000020715,Ern1,0.0010224948875899918,2.0039464646829397e-05
ENSMUSG00000001103,Sebox,0.005235602094339977,0.00010794090095178434
ENSMUSG00000000903,Vpreb3,0.008064516128760052,0.0001786723653686047
ENSMUSG00000001281,Itgb7,0.0012391573728200238,2.4329396195084427e-05
ENSMUSG00000001280,Sp1,0.0012787723787199905,2.6830019424348383e-05
ENSMUSG00000000876,Pxmp4,0.004694835680399977,0.00010270380544030238
ENSMUSG00000001946,Esam,0.002531645569940031,5.0594409015237875e-05
ENSMUSG00000001815,Evx2,0.0061606921249266425,0.0002767412992142111
ENSMUSG00000001707,Eef1e1,0.005714285714000022,0.00011907894263839226
ENSMUSG00000031385,Plxnb3,0.0005254860745710024,1.028675840922745e-05
ENSMUSG00000002103,Acp2,0.002358490565829998,4.6948520889412676e-05
ENSMUSG00000001518,Itfg2,0.0022522522520999626,4.627250758524434e-05
ENSMUSG00000002129,Sf3a1,0.0012626262621499638,2.827437661098993e-05
ENSMUSG00000001380,Hars1,0.001960784312999961,4.1819743595514475e-05
ENSMUSG00000022484,Hoxc10,0.0029154518952399537,5.936274038873919e-05
ENSMUSG00000001521,Tulp3,0.0021691973970200005,4.394731052775501e-05
ENSMUSG00000020196,Cabin1,0.0004570383912299845,9.20821279216417e-06
ENSMUSG00000002059,Rab34,0.003846153846020003,8.113662588486538e-05
ENSMUSG00000001943,Vsig2,0.003039513677590021,6.300715860828029e-05
ENSMUSG00000001901,Kcnh6,0.0010515247110299988,2.127026987512602e-05
ENSMUSG00000001420,Tmem79,0.002551020408100021,5.359974105957548e-05
ENSMUSG00000001444,Tbx21,0.001883239171700008,3.8248372674344174e-05
ENSMUSG00000027680,Fxr1,0.0014749262539500425,3.0163358430195198e-05
ENSMUSG00000020622,Nt5c1b,0.0017421602782099746,3.2409066165671765e-05
ENSMUSG00000002324,Rec8,0.001689189189569968,3.62256989609987e-05
ENSMUSG00000002250,Ppard,0.0022675736963199723,5.231557523034634e-05
ENSMUSG00000001520,Nrip2,0.004347826087079966,0.00010396295540212332
ENSMUSG00000001661,Hoxc6,0.00423728813467,8.739333493682207e-05
ENSMUSG00000002205,Vrk3,0.002202643172090034,4.520743986675932e-05
ENSMUSG00000001383,Zmat2,0.004999999999999984,0.00013031856855425986
ENSMUSG00000001674,Ddx18,0.001512859303950005,3.091526057986243e-05
ENSMUSG00000001657,Hoxc8,0.004115226338100041,8.768773815726893e-05
ENSMUSG00000001910,Nacc1,0.001941747572950011,3.997376788586647e-05
ENSMUSG00000002076,Hsf2bp,0.0029498525075600367,6.0609404672259476e-05
ENSMUSG00000001819,Hoxd13,0.0029411764706999757,6.12985378916466e-05
ENSMUSG00000002052,Supt6,0.0005790387950499847,1.203060187841274e-05
ENSMUSG00000001983,Taco1,0.0033898305087499882,6.895934206286795e-05
ENSMUSG00000001569,Nom1,0.0011695906437599983,2.3091954238522434e-05
ENSMUSG00000001441,Npepps,0.0010857763302199856,2.0430345949870763e-05
ENSMUSG00000002289,Angptl4,0.0024330900241800145,4.9171418881412555e-05
ENSMUSG00000002058,Unc119,0.0041493775936999825,9.078619071370142e-05
ENSMUSG00000001948,Spa17,0.006666666666969966,0.00016193135303402932
ENSMUSG00000030495,Slc7a10,0.001883239171889982,4.0205938943567366e-05
ENSMUSG00000002308,Cd320,0.0038314176243000563,7.761066533340648e-05
ENSMUSG00000002233,Rhoc,0.00515463917577998,0.00011086064514382833
ENSMUSG00000001552,Jup,0.0013404825739499753,3.023215918799968e-05
ENSMUSG00000022283,Pabpc1,0.0015698587132699706,3.0418500949079255e-05
ENSMUSG00000002111,Spi1,0.003663003663549984,8.301570248382021e-05
ENSMUSG00000001670,Tat,0.0021978021987100263,4.307659812230296e-05
ENSMUSG00000002031,Ift46,0.0033112582778000174,7.462474329803945e-05
ENSMUSG00000001497,Pax9,0.0029154518952399476,6.0672808159049573e-05
ENSMUSG00000021070,Bdkrb2,0.0025445292624599793,6.0058557757105076e-05
ENSMUSG00000023186,Vwa5a,0.0012594458442000286,2.4353500379655217e-05
ENSMUSG00000002204,Napsa,0.002380952380610017,4.742585122957506e-05
ENSMUSG00000001964,Emd,0.0038461538459699986,7.942545036870237e-05
ENSMUSG00000078622,Ccdc47,0.00206611570226003,4.4881317641121914e-05
ENSMUSG00000022219,Cideb,0.004545454545269898,9.369228938965946e-05
ENSMUSG00000002266,Zim1,0.001724137931300029,3.620826529536228e-05
ENSMUSG00000001864,Aif1l,0.006622516555610049,0.00016344438857702258
ENSMUSG00000002032,Tmem25,0.0027322404372400037,5.6433638710800964e-05
ENSMUSG00000001739,Cldn15,0.004385964912740058,9.966292709851067e-05
ENSMUSG00000031820,Babam1,0.002994011975920004,6.971076313269721e-05
ENSMUSG00000001999,Blvra,0.0033783783786999356,6.875969952306386e-05
ENSMUSG00000001656,Hoxc11,0.003278688524439969,7.17269942977038e-05
ENSMUSG00000001823,Hoxd12,0.0037174721185399776,7.89880062835701e-05
ENSMUSG00000002329,Mdp1,0.006060606061539948,0.00012174083747877075
