gene_id,gene_name,chromosome,is_X,CO_Mega,TE_mean
ENSG00000004478,FKBP4,12,0,-1.1527468590492909,-0.50491508439592
ENSG00000001036,FUCA2,6,0,0.25747657470943075,-0.0477345345235702
ENSG00000002933,TMEM176A,7,0,-0.8403598986679572,-0.196982763300635
ENSG00000006451,RALA,7,0,0.7832129045773364,1.51509539496452
ENSG00000003056,M6PR,12,0,-0.5452488727224765,0.105198811751728
ENSG00000006606,CCL26,7,0,-0.968638526058875,
ENSG00000006453,BAIAP2L1,7,0,-0.7727122639112682,-0.626946937055717
ENSG00000003137,CYP26B1,2,0,-2.2353234990322317,
ENSG00000003249,DBNDD1,16,0,-4.057513703016808,-2.44592852793058
ENSG00000004776,HSPB6,19,0,-2.5314868706738984,-1.75004104749529
ENSG00000001630,CYP51A1,7,0,0.6734656676692783,0.612951920267035
ENSG00000006611,USH1C,11,0,-1.6238376660047358,-1.58566965852923
ENSG00000004799,PDK4,7,0,0.3703989893722497,1.74872616688501
ENSG00000075790,BCAP29,7,0,1.4448495715734158,1.8245842232068
ENSG00000006116,CACNG3,16,0,-1.1766071175688477,
ENSG00000003509,NDUFAF7,2,0,0.6360246855188549,1.23596268781452
ENSG00000001626,CFTR,7,0,0.562375422821578,0.0428775610812938
ENSG00000004059,ARF5,7,0,-0.8371311289920094,-0.904225096161905
ENSG00000001617,SEMA3F,3,0,-1.7573302641176944,-2.31130597743315
ENSG00000173153,ESRRA,11,0,-2.4392694659746397,-3.54480145037126
ENSG00000002587,HS3ST1,4,0,-1.9395276859724309,
ENSG00000010270,STARD3NL,7,0,0.08988612590496992,0.235933584772391
ENSG00000010278,CD9,12,0,0.4533950610184192,1.41908852752065
ENSG00000007001,UPP2,2,0,0.30651791620786817,
ENSG00000008197,TFAP2D,6,0,-1.3217272908202542,
ENSG00000007376,RPUSD1,16,0,-3.23585054635055,-2.24092095210534
ENSG00000006047,YBX2,17,0,-2.6331473773840894,-2.7578220323506
ENSG00000006282,SPATA20,17,0,-1.997318577906821,
ENSG00000006059,KRT33A,17,0,-2.945785855461727,
ENSG00000004777,ARHGAP33,19,0,-3.474795737732771,
ENSG00000004779,NDUFAB1,16,0,-0.04651200133022648,1.13978594905383
ENSG00000007312,CD79B,17,0,-1.698297340187338,-0.383332565737516
ENSG00000006210,CX3CL1,16,0,-2.6561964868877634,-0.831199613087947
ENSG00000005175,RPAP3,12,0,0.971899900422601,2.6120915349514
ENSG00000007520,TSR3,16,0,-2.572673626736977,-3.23665170961642
ENSG00000008405,CRY1,12,0,0.3035745511319874,-1.09744977672814
ENSG00000008438,PGLYRP1,19,0,-2.1205612794736606,-3.87622803224347
ENSG00000005073,HOXA11,7,0,-1.977984482064052,
ENSG00000007038,PRSS21,16,0,-1.1806330832510614,-1.4617048496534
ENSG00000004975,DVL2,17,0,-2.728982723100591,-1.96885805811101
ENSG00000005486,RHBDD2,7,0,-2.017174829723574,-1.66963980411025
ENSG00000006025,OSBPL7,17,0,-2.756134150193736,-2.58060105930863
ENSG00000078668,VDAC3,8,0,1.2038132417962082,2.63437482431029
ENSG00000021488,SLC7A9,19,0,-0.4611051186413828,-0.178066931436732
ENSG00000019582,CD74,5,0,-2.0322665588076934,0.0601856311826583
ENSG00000013583,HEBP1,12,0,-0.12900782839131253,0.254510584905683
ENSG00000015532,XYLT2,17,0,-2.5097073343876755,-2.74406510256049
ENSG00000241644,INMT,7,0,-1.3359037033406302,-1.1045531715792
ENSG00000034971,MYOC,1,0,-1.5967109257971508,
ENSG00000010017,RANBP9,6,0,-0.6484953264013917,-1.1517940173535
ENSG00000011485,PPP5C,19,0,-1.3508316651402552,-1.21917181121261
ENSG00000037965,HOXC8,12,0,-1.787863786196846,
ENSG00000019505,SYT13,11,0,-2.299594781332761,
ENSG00000012963,UBR7,14,0,0.21228300099478759,0.358313365770325
ENSG00000059915,PSD,10,0,-3.1535402528401004,-5.15734864175833
ENSG00000011105,TSPAN9,12,0,-0.694571733789008,-0.310144342987012
ENSG00000011478,QPCTL,19,0,-2.241866237409841,-1.57216810249698
ENSG00000013588,GPRC5A,12,0,-0.3695031928254142,
ENSG00000008988,RPS20,8,0,0.2799863007037331,0.336033650100893
ENSG00000091704,CPA1,7,0,-1.7244399564617083,
ENSG00000010610,CD4,12,0,-1.362970691918255,0.380265747471547
ENSG00000038219,BOD1L1,4,0,-0.5860373420677973,-2.42652143050811
ENSG00000034713,GABARAPL2,16,0,0.5380173148967025,1.72025485712387
ENSG00000037757,MRI1,19,0,-1.9737641706355387,-1.85828974443725
ENSG00000008324,SS18L2,3,0,-0.6217041519926028,-0.396125498133703
ENSG00000019549,SNAI2,8,0,-1.250400840178628,0.301616123453751
ENSG00000071203,MS4A12,11,0,0.521886624452577,
ENSG00000035681,NSMAF,8,0,-0.005512417816158077,-1.14253722621529
ENSG00000023516,AKAP11,13,0,0.14460357982339112,0.0735031164182643
ENSG00000079112,CDH17,8,0,0.09444044150509434,
ENSG00000014919,COX15,10,0,-0.31034808474469244,0.679214990789292
ENSG00000052841,TTC17,11,0,-0.3741326659294817,0.192839708562177
ENSG00000033100,CHPF2,7,0,-2.333930633668645,-2.49083490307436
ENSG00000015568,RGPD5,2,0,0.7043439727029419,
ENSG00000027847,B4GALT7,5,0,-2.3631900329368793,-2.83553182861554
ENSG00000080293,SCTR,2,0,-1.073578004492978,-1.89873202448474
ENSG00000036473,OTC,X,1,0.5269589182948646,2.87163551814388
ENSG00000023287,RB1CC1,8,0,0.5315663174958747,-0.0606350784412638
ENSG00000068971,PPP2R5B,11,0,-1.9154006016165486,-3.17861763523174
ENSG00000070526,ST6GALNAC1,17,0,-1.8711184954089752,
ENSG00000048544,MRPS10,6,0,0.6080042943118329,1.64776820915487
ENSG00000043462,LCP2,5,0,-1.7535508393089465,-0.970689397479214
ENSG00000074771,NOX3,6,0,-0.42698423433405175,
ENSG00000030582,GRN,17,0,-2.505123214383861,-0.68483889223501
ENSG00000062725,APPBP2,17,0,1.0934684488342121,-0.142010855581017
ENSG00000041357,PSMA4,15,0,1.2383858690971383,3.26143751465167
ENSG00000136960,ENPP2,8,0,0.13138219446099697,1.39577004442189
ENSG00000040531,CTNS,17,0,-0.4823368711400384,-0.548260771437003
ENSG00000065970,FOXJ2,12,0,-2.3252146526441297,-2.28707069973494
ENSG00000088256,GNA11,19,0,-1.9796328760836275,-2.21365048140782
ENSG00000012124,CD22,19,0,-1.6090378957918094,-2.45930014485253
ENSG00000049449,RCN1,11,0,-0.5913247315028904,0.468713542430152
ENSG00000071282,LMCD1,3,0,-1.3782922261865664,-1.69176915064859
ENSG00000072849,DERL2,17,0,0.7672504616269062,-0.0354529401471187
ENSG00000059804,SLC2A3,12,0,0.1980738307041765,-0.664326325754787
ENSG00000041988,THAP3,1,0,-2.558326219473738,-1.68005670727666
ENSG00000058799,YIPF1,1,0,0.6503779369415223,1.58228163118001
ENSG00000040608,RTN4R,22,0,-2.565434580171832,-3.35720629678341
ENSG00000073598,FNDC8,17,0,-1.34277935411364,
ENSG00000063180,CA11,19,0,-2.1363880655937812,-2.42266148687789
