gene_id,gene_name,chromosome,is_X,CO_Mega,TE_mean
ENSMUSG00000000126,Wnt9a,11,0,-0.8428968118313911,-0.539706003244166
ENSMUSG00000000127,Fer,17,0,-0.3535730782502,-0.5995039200931421
ENSMUSG00000020875,Hoxb9,11,0,-0.543580199237363,
ENSMUSG00000000167,Pih1d2,9,0,-0.4802855013584324,
ENSMUSG00000000028,Cdc45,16,0,-0.5461023939740848,-1.1173485978768285
ENSMUSG00000000120,Ngfr,11,0,-0.9310737762859613,-0.7309445772714808
ENSMUSG00000000093,Tbx2,11,0,-0.5231783305433648,-1.076831417693477
ENSMUSG00000035352,Ccl12,11,0,-0.3494762064582293,
ENSMUSG00000000183,Fgf6,6,0,-0.5067166589660719,
ENSMUSG00000000159,Igsf5,16,0,-0.6713754262646283,-0.8739415508005517
ENSMUSG00000048583,Igf2,7,0,-0.40039421080837556,0.3722554837996902
ENSMUSG00000000182,Fgf23,6,0,-0.6646557815807341,
ENSMUSG00000000171,Sdhd,9,0,-1.0582537928826135,0.2128637741955271
ENSMUSG00000000149,Gna12,5,0,-0.19873034887069707,-2.095007807359385
ENSMUSG00000035385,Ccl2,11,0,-0.2981452872133872,0.6943313937257845
ENSMUSG00000000085,Scmh1,4,0,-0.7557807486834509,-1.257351712569582
ENSMUSG00000020152,Actr2,11,0,-0.192881258256147,0.0955017177861485
ENSMUSG00000000157,Itgb2l,16,0,-0.7399250033811811,-0.4245996622308257
ENSMUSG00000000001,Gnai3,3,0,-0.3823369728661863,0.0439279618531476
ENSMUSG00000000049,Apoh,11,0,-0.1784539229588855,0.5354126442862042
ENSMUSG00000000125,Wnt3,11,0,-0.6721723171271723,
ENSMUSG00000000003,Pbsn,X,1,0.018602285730056067,
ENSMUSG00000000078,Klf6,13,0,-1.1021100055902995,-0.0620026765876507
ENSMUSG00000000058,Cav2,6,0,-0.7585619146749156,0.1757253852289622
ENSMUSG00000062661,Ncs1,2,0,0.33102806796979145,
ENSMUSG00000000088,Cox5a,9,0,-0.6667495379574273,1.061780273189803
ENSMUSG00000000184,Ccnd2,6,0,0.19951247695365382,0.1477898422120543
ENSMUSG00000000305,Cdh4,2,0,-0.261753276405452,
ENSMUSG00000000253,Gmpr,13,0,-0.19209653040436692,-0.3190569731126229
ENSMUSG00000000295,Hddc2,10,0,-0.13571296825324275,-0.1245693922128028
ENSMUSG00000000308,Ckmt1,2,0,-0.4833301174857656,
ENSMUSG00000000290,Itgb2,10,0,-0.6892815321349026,-0.1255590255678288
ENSMUSG00000000197,Nalcn,14,0,-0.3146833314310964,
ENSMUSG00000000216,Scnn1g,7,0,-0.19188569041705783,
ENSMUSG00000000202,Btbd17,11,0,-0.7309801167439982,
ENSMUSG00000000248,Clec2g,6,0,-0.12211125357802288,
ENSMUSG00000000278,Scpep1,11,0,0.05182583036526722,-0.0053954498483303
ENSMUSG00000026535,Ifi202b,1,0,-0.18855120318853658,0.1945690972350471
